6.81451696	0.06835938	0.13085938	0.39453125	0.31835938	0.08789062	1.00000000
6.80073103	0.04687500	0.18164062	0.38867188	0.28710938	0.09570312	1.00000000
6.86595744	0.05468750	0.14843750	0.41210938	0.28906250	0.09570312	1.00000000
6.46390295	0.05468750	0.19335938	0.36718750	0.27148438	0.11328125	1.00000000
6.75828024	0.06250000	0.12500000	0.39062500	0.28906250	0.13281250	1.00000000
6.46609153	0.06640625	0.18945312	0.35546875	0.27539062	0.11328125	1.00000000
6.82011403	0.06250000	0.18359375	0.37109375	0.26953125	0.11328125	1.00000000
6.59873907	0.08007812	0.15429688	0.36718750	0.26757812	0.13085938	1.00000000
6.65206590	0.06640625	0.18164062	0.36328125	0.27929688	0.10937500	1.00000000
6.81916030	0.06054688	0.15625000	0.39453125	0.28125000	0.10742188	1.00000000
6.71585706	0.06835938	0.15820312	0.38476562	0.26757812	0.12109375	1.00000000
6.91637265	0.05468750	0.16601562	0.39648438	0.28320312	0.09960938	1.00000000
6.96135216	0.05078125	0.18359375	0.37890625	0.27734375	0.10937500	1.00000000
6.49483054	0.06835938	0.20507812	0.35351562	0.27539062	0.09765625	1.00000000
6.30656757	0.06445312	0.19921875	0.37695312	0.26953125	0.08984375	1.00000000
5.98141046	0.07421875	0.18945312	0.36328125	0.30273438	0.07031250	1.00000000
6.17938142	0.05859375	0.17578125	0.36132812	0.31640625	0.08789062	1.00000000
6.63049291	0.05078125	0.13671875	0.42382812	0.28125000	0.10742188	1.00000000
6.55840568	0.05468750	0.16406250	0.37500000	0.29296875	0.11328125	1.00000000
6.41558920	0.06445312	0.15820312	0.37109375	0.29492188	0.11132812	1.00000000
6.44057385	0.06250000	0.16210938	0.38281250	0.27929688	0.11328125	1.00000000
6.34652304	0.05468750	0.15234375	0.39453125	0.27343750	0.12500000	1.00000000
6.29432368	0.06445312	0.14843750	0.38671875	0.28515625	0.11523438	1.00000000
6.97508441	0.05664062	0.14453125	0.38671875	0.29687500	0.11523438	1.00000000
6.82387557	0.05664062	0.17187500	0.37890625	0.28906250	0.10351562	1.00000000
6.77788292	0.07421875	0.17578125	0.36523438	0.28906250	0.09570312	1.00000000
6.72221567	0.06054688	0.16796875	0.35937500	0.30468750	0.10742188	1.00000000
6.70933832	0.07226562	0.15429688	0.37695312	0.27148438	0.12500000	1.00000000
6.59106609	0.07421875	0.17773438	0.36914062	0.28320312	0.09570312	1.00000000
6.58233552	0.04687500	0.18164062	0.41796875	0.27148438	0.08203125	1.00000000
6.69238980	0.05273438	0.15820312	0.38867188	0.29101562	0.10937500	1.00000000
6.32678225	0.08789062	0.16796875	0.38671875	0.28515625	0.07226562	1.00000000
7.12304548	0.07031250	0.15234375	0.39453125	0.27343750	0.10937500	1.00000000
